Material,Plant,Vendor,Week,ForecastQty,WIP,Stock,MRP BACKLOG,Price from Info Record,Price unit,Currency from Info Record,Safety Stock,ConsumptionQty,Deviation,DeviationPercent
45042U0323000660,MA10,431842,W05-25,7338.0,1272.0,15768.0,13.0,50.05,1000.0,EUR,0.0,6039.0,-1299.0,-17.70237121831562
45042U0323000660,MA10,431842,W05-25,7338.0,1272.0,15768.0,13.0,50.05,1000.0,EUR,0.0,2045.0,-5293.0,-72.13137094576179
45042U0323000735,MA10,431842,W05-25,19735.0,11585.0,7860.0,31.0,55.74,1000.0,EUR,0.0,6952.0,-12783.0,-64.7732455029136
45042U0323000760,MA10,431842,W05-25,4056.0,0.0,10584.0,0.0,57.64,1000.0,EUR,0.0,1230.0,-2826.0,-69.67455621301775
45042U0323000770,MA10,431842,W05-25,8451.0,0.0,17856.0,3.0,58.4,1000.0,EUR,0.0,5950.0,-2501.0,-29.594130872086144
45042U0323000780,MA10,431842,W05-25,700.0,1627.0,0.0,0.0,59.16,1000.0,EUR,0.0,460.0,-240.0,-34.285714285714285
45042U0323001360,MA10,431842,W05-25,168.0,143.0,816.0,0.0,103.14,1000.0,EUR,0.0,168.0,0.0,0.0
45042U0403000040,MA10,0,W05-25,10499.0,25745.0,0.0,13.0,0.0,0.0,0,0.0,8145.0,-2354.0,-22.42118296980665
45042U0403000060,MA10,431842,W05-25,243.0,3557.0,66440.0,0.0,5.4,1000.0,EUR,0.0,319.0,76.0,31.275720164609055
45042U0403000075,MA10,431842,W05-25,4418.0,14919.0,13280.0,3.0,6.75,1000.0,EUR,0.0,3995.0,-423.0,-9.574468085106384
45042U0403000075,MA10,431842,W05-25,4418.0,14919.0,13280.0,3.0,6.75,1000.0,EUR,0.0,34.0,-4384.0,-99.23042100497963
45042U0403000080,MA10,431842,W05-25,1826.0,28750.0,24900.0,0.0,7.2,1000.0,EUR,0.0,1930.0,104.0,5.695509309967141
